title,BATTING,dismissed,R,B,M,4s,6s,SR
Gujarat Titans VS Chennai Super Kings,Wriddhiman Saha †,c †Dhoni b Chahar,54,39,63,5,1,138.46
Gujarat Titans VS Chennai Super Kings,Shubman Gill ,st †Dhoni b Jadeja,39,20,34,7,0,195.00
Gujarat Titans VS Chennai Super Kings,Sai Sudharsan ,lbw b Pathirana,96,47,58,8,6,204.25
Gujarat Titans VS Chennai Super Kings,Hardik Pandya (c),not out ,21,12,32,0,2,175.00
Gujarat Titans VS Chennai Super Kings,Rashid Khan ,c Gaikwad b Pathirana,0,2,2,0,0,0.00
Gujarat Titans VS Chennai Super Kings,Ruturaj Gaikwad ,c Rashid Khan b Noor Ahmad,26,16,30,3,1,162.50
Gujarat Titans VS Chennai Super Kings,Devon Conway ,c Sharma b Noor Ahmad,47,25,34,4,2,188.00
Gujarat Titans VS Chennai Super Kings,Shivam Dube ,not out ,32,21,49,0,2,152.38
Gujarat Titans VS Chennai Super Kings,Ajinkya Rahane ,c Shankar b Sharma,27,13,20,2,2,207.69
Gujarat Titans VS Chennai Super Kings,Ambati Rayudu ,c & b Sharma,19,8,8,1,2,237.50
Gujarat Titans VS Chennai Super Kings,MS Dhoni (c)†,c Miller b Sharma,0,1,1,0,0,0.00
Gujarat Titans VS Chennai Super Kings,Ravindra Jadeja ,not out ,15,6,14,1,1,250.00
Gujarat Titans VS Mumbai Indians,Wriddhiman Saha †,st †Ishan Kishan b Chawla,18,16,31,3,0,112.50
Gujarat Titans VS Mumbai Indians,Shubman Gill ,c David b Madhwal,129,60,86,7,10,215.00
Gujarat Titans VS Mumbai Indians,Sai Sudharsan ,retired out ,43,31,68,5,1,138.70
Gujarat Titans VS Mumbai Indians,Hardik Pandya (c),not out ,28,13,20,2,2,215.38
Gujarat Titans VS Mumbai Indians,Rashid Khan ,not out ,5,2,6,1,0,250.00
Gujarat Titans VS Mumbai Indians,Rohit Sharma (c),c Little b Mohammed Shami,8,7,17,1,0,114.28
Gujarat Titans VS Mumbai Indians,Nehal Wadhera ,c †Saha b Mohammed Shami,4,3,3,1,0,133.33
Gujarat Titans VS Mumbai Indians,Cameron Green , b Little,30,20,54,2,2,150.00
Gujarat Titans VS Mumbai Indians,Suryakumar Yadav , b Sharma,61,38,61,7,2,160.52
Gujarat Titans VS Mumbai Indians,Tilak Varma , b Rashid Khan,43,14,17,5,3,307.14
Gujarat Titans VS Mumbai Indians,Vishnu Vinod †,c Pandya b Sharma,5,7,19,0,0,71.42
Gujarat Titans VS Mumbai Indians,Tim David ,lbw b Rashid Khan,2,3,6,0,0,66.66
Gujarat Titans VS Mumbai Indians,Chris Jordan ,c Sai Sudharsan b Sharma,2,5,7,0,0,40.00
Gujarat Titans VS Mumbai Indians,Piyush Chawla ,c Miller b Sharma,0,2,5,0,0,0.00
Gujarat Titans VS Mumbai Indians,Kumar Kartikeya ,c Miller b Sharma,6,7,10,1,0,85.71
Mumbai Indians VS Lucknow Super Giants,Ishan Kishan †,c †Pooran b Yash Thakur,15,12,18,3,0,125.00
Mumbai Indians VS Lucknow Super Giants,Rohit Sharma (c),c Badoni b Naveen-ul-Haq,11,10,11,1,1,110.00
Mumbai Indians VS Lucknow Super Giants,Cameron Green , b Naveen-ul-Haq,41,23,38,6,1,178.26
Mumbai Indians VS Lucknow Super Giants,Suryakumar Yadav ,c Gowtham b Naveen-ul-Haq,33,20,29,2,2,165.00
Mumbai Indians VS Lucknow Super Giants,Tilak Varma ,c Hooda b Naveen-ul-Haq,26,22,43,0,2,118.18
Mumbai Indians VS Lucknow Super Giants,Tim David ,c Hooda b Yash Thakur,13,13,29,1,0,100.00
Mumbai Indians VS Lucknow Super Giants,Nehal Wadhera ,c Ravi Bishnoi b Yash Thakur,23,12,23,2,2,191.66
Mumbai Indians VS Lucknow Super Giants,Chris Jordan ,c Hooda b Mohsin Khan,4,7,7,0,0,57.14
Mumbai Indians VS Lucknow Super Giants,Hrithik Shokeen ,not out ,0,1,6,0,0,0.00
Mumbai Indians VS Lucknow Super Giants,Kyle Mayers ,c Green b Jordan,18,13,18,3,0,138.46
Mumbai Indians VS Lucknow Super Giants,Prerak Mankad ,c Shokeen b Madhwal,3,6,9,0,0,50.00
Mumbai Indians VS Lucknow Super Giants,Krunal Pandya (c),c David b Chawla,8,11,35,1,0,72.72
Mumbai Indians VS Lucknow Super Giants,Marcus Stoinis ,run out (David/†Ishan Kishan),40,27,45,5,1,148.14
Mumbai Indians VS Lucknow Super Giants,Ayush Badoni , b Madhwal,1,7,6,0,0,14.28
Mumbai Indians VS Lucknow Super Giants,Nicholas Pooran †,c †Ishan Kishan b Madhwal,0,1,1,0,0,0.00
Mumbai Indians VS Lucknow Super Giants,Deepak Hooda ,run out (Green/Madhwal/Sharma),15,13,26,0,1,115.38
Mumbai Indians VS Lucknow Super Giants,Krishnappa Gowtham ,run out (Sharma),2,3,3,0,0,66.66
Mumbai Indians VS Lucknow Super Giants,Ravi Bishnoi ,c Jordan b Madhwal,3,6,8,0,0,50.00
Mumbai Indians VS Lucknow Super Giants,Naveen-ul-Haq ,not out ,1,5,10,0,0,20.00
Mumbai Indians VS Lucknow Super Giants,Mohsin Khan , b Madhwal,0,7,8,0,0,0.00
Chennai Super Kings VS Gujarat Titans,Ruturaj Gaikwad ,c Miller b Sharma,60,44,48,7,1,136.36
Chennai Super Kings VS Gujarat Titans,Devon Conway ,c Rashid Khan b Mohammed Shami,40,34,74,4,0,117.64
Chennai Super Kings VS Gujarat Titans,Shivam Dube , b Noor Ahmad,1,3,4,0,0,33.33
Chennai Super Kings VS Gujarat Titans,Ajinkya Rahane ,c Shubman Gill b Nalkande,17,10,15,0,1,170.00
Chennai Super Kings VS Gujarat Titans,Ambati Rayudu ,c Shanaka b Rashid Khan,17,9,15,1,1,188.88
Chennai Super Kings VS Gujarat Titans,Ravindra Jadeja , b Mohammed Shami,22,16,25,2,0,137.50
Chennai Super Kings VS Gujarat Titans,MS Dhoni (c)†,c Pandya b Sharma,1,2,4,0,0,50.00
Chennai Super Kings VS Gujarat Titans,Moeen Ali ,not out ,9,4,7,0,1,225.00
Chennai Super Kings VS Gujarat Titans,Wriddhiman Saha †,c Pathirana b Chahar,12,11,14,2,0,109.09
Chennai Super Kings VS Gujarat Titans,Shubman Gill ,c Conway b Chahar,42,38,58,4,1,110.52
Chennai Super Kings VS Gujarat Titans,Hardik Pandya (c),c Jadeja b Theekshana,8,7,12,1,0,114.28
