title,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Gujarat Titans VS Chennai Super Kings,Deepak Chahar,4,0,38,1,9.50,5,3,1,0,0
Gujarat Titans VS Chennai Super Kings,Tushar Deshpande,4,0,56,0,14.00,4,7,3,0,0
Gujarat Titans VS Chennai Super Kings,Maheesh Theekshana,4,0,36,0,9.00,8,3,2,0,0
Gujarat Titans VS Chennai Super Kings,Ravindra Jadeja,4,0,38,1,9.50,3,3,1,0,0
Gujarat Titans VS Chennai Super Kings,Matheesha Pathirana,4,0,44,2,11.00,7,4,2,2,0
Gujarat Titans VS Chennai Super Kings,Mohammed Shami,3,0,29,0,9.66,5,4,0,0,0
Gujarat Titans VS Chennai Super Kings,Hardik Pandya,1,0,14,0,14.00,1,1,1,1,0
Gujarat Titans VS Chennai Super Kings,Rashid Khan,3,0,44,0,14.66,2,4,3,0,0
Gujarat Titans VS Chennai Super Kings,Noor Ahmad,3,0,17,2,5.66,6,0,0,3,0
Gujarat Titans VS Chennai Super Kings,Josh Little,2,0,30,0,15.00,1,0,3,0,0
Gujarat Titans VS Chennai Super Kings,Mohit Sharma,3,0,36,3,12.00,4,2,3,0,0
Gujarat Titans VS Mumbai Indians,Jason Behrendorff,4,0,28,0,7.00,8,4,0,0,0
Gujarat Titans VS Mumbai Indians,Cameron Green,3,0,35,0,11.66,4,3,2,0,0
Gujarat Titans VS Mumbai Indians,Akash Madhwal,4,0,52,1,13.00,7,3,4,0,2
Gujarat Titans VS Mumbai Indians,Chris Jordan,4,0,56,0,14.00,6,6,3,4,0
Gujarat Titans VS Mumbai Indians,Piyush Chawla,3,0,45,1,15.00,0,2,3,1,0
Gujarat Titans VS Mumbai Indians,Kumar Kartikeya,2,0,15,0,7.50,2,0,1,0,0
Gujarat Titans VS Mumbai Indians,Mohammed Shami,3,0,41,2,13.66,6,6,2,0,0
Gujarat Titans VS Mumbai Indians,Hardik Pandya,2,0,24,0,12.00,4,3,1,1,0
Gujarat Titans VS Mumbai Indians,Rashid Khan,4,0,33,2,8.25,8,5,0,1,0
Gujarat Titans VS Mumbai Indians,Noor Ahmad,4,0,35,0,8.75,8,1,2,1,1
Gujarat Titans VS Mumbai Indians,Josh Little,3,0,26,1,8.66,6,2,1,1,0
Gujarat Titans VS Mumbai Indians,Mohit Sharma,2.2,0,10,5,4.28,9,0,1,0,0
Mumbai Indians VS Lucknow Super Giants,Krunal Pandya,4,0,38,0,9.50,7,5,1,0,0
Mumbai Indians VS Lucknow Super Giants,Krishnappa Gowtham,1,0,8,0,8.00,4,2,0,0,0
Mumbai Indians VS Lucknow Super Giants,Naveen-ul-Haq,4,0,38,4,9.50,10,3,2,3,0
Mumbai Indians VS Lucknow Super Giants,Yash Thakur,4,0,34,3,8.50,12,3,2,2,0
Mumbai Indians VS Lucknow Super Giants,Mohsin Khan,3,0,24,1,8.00,9,1,2,0,0
Mumbai Indians VS Lucknow Super Giants,Ravi Bishnoi,4,0,30,0,7.50,4,1,1,1,0
Mumbai Indians VS Lucknow Super Giants,Jason Behrendorff,3,0,21,0,7.00,7,3,0,0,0
Mumbai Indians VS Lucknow Super Giants,Akash Madhwal,3.3,0,5,5,1.42,17,0,0,0,0
Mumbai Indians VS Lucknow Super Giants,Chris Jordan,2,1,7,1,3.50,9,1,0,0,0
Mumbai Indians VS Lucknow Super Giants,Cameron Green,3,0,15,0,5.00,7,1,0,0,0
Mumbai Indians VS Lucknow Super Giants,Hrithik Shokeen,1,0,18,0,18.00,1,2,1,1,0
Mumbai Indians VS Lucknow Super Giants,Piyush Chawla,4,0,28,1,7.00,9,2,1,2,0
Chennai Super Kings VS Gujarat Titans,Mohammed Shami,4,0,28,2,7.00,10,2,1,0,1
Chennai Super Kings VS Gujarat Titans,Darshan Nalkande,4,0,44,1,11.00,9,4,2,0,1
Chennai Super Kings VS Gujarat Titans,Rashid Khan,4,0,37,1,9.25,5,2,1,0,0
Chennai Super Kings VS Gujarat Titans,Noor Ahmad,4,0,29,1,7.25,6,3,0,0,0
Chennai Super Kings VS Gujarat Titans,Mohit Sharma,4,0,31,2,7.75,4,3,0,0,0
Chennai Super Kings VS Gujarat Titans,Deepak Chahar,4,0,29,2,7.25,10,2,1,3,0
Chennai Super Kings VS Gujarat Titans,Tushar Deshpande,4,0,43,1,10.75,11,6,2,2,0
Chennai Super Kings VS Gujarat Titans,Maheesh Theekshana,4,0,28,2,7.00,8,1,1,0,0
Chennai Super Kings VS Gujarat Titans,Ravindra Jadeja,4,0,18,2,4.50,12,2,0,0,0
Chennai Super Kings VS Gujarat Titans,Matheesha Pathirana,4,0,37,2,9.25,9,2,1,7,0
Royal Challengers Bangalore VS Gujarat Titans,Mohammed Shami,4,0,39,1,9.75,9,7,0,1,0
Royal Challengers Bangalore VS Gujarat Titans,Yash Dayal,4,0,39,1,9.75,7,5,1,0,0
Royal Challengers Bangalore VS Gujarat Titans,Rashid Khan,4,0,24,1,6.00,5,1,0,0,0
Royal Challengers Bangalore VS Gujarat Titans,Noor Ahmad,4,0,39,2,9.75,6,4,1,2,0
Royal Challengers Bangalore VS Gujarat Titans,Mohit Sharma,4,0,54,0,13.50,2,8,1,2,0
Royal Challengers Bangalore VS Gujarat Titans,Mohammed Siraj,4,0,32,2,8.00,11,2,2,2,0
Royal Challengers Bangalore VS Gujarat Titans,Wayne Parnell,3.1,0,42,0,13.26,7,6,2,1,1
Royal Challengers Bangalore VS Gujarat Titans,Vijaykumar Vyshak,4,0,40,1,10.00,6,2,2,2,0
Royal Challengers Bangalore VS Gujarat Titans,Himanshu Sharma,3,0,28,0,9.33,4,3,1,0,0
Royal Challengers Bangalore VS Gujarat Titans,Harshal Patel,4,0,29,1,7.25,11,2,1,2,0
Royal Challengers Bangalore VS Gujarat Titans,Michael Bracewell,1,0,16,0,16.00,2,0,2,0,0
Sunrisers Hyderabad VS Mumbai Indians,Jason Behrendorff,3,0,36,0,12.00,7,4,2,3,0
Sunrisers Hyderabad VS Mumbai Indians,Cameron Green,1,0,2,0,2.00,4,0,0,0,0
Sunrisers Hyderabad VS Mumbai Indians,Chris Jordan,4,0,42,1,10.50,6,5,1,1,0
Sunrisers Hyderabad VS Mumbai Indians,Akash Madhwal,4,0,37,4,9.25,7,4,1,0,1
Sunrisers Hyderabad VS Mumbai Indians,Piyush Chawla,4,0,39,0,9.75,4,3,2,0,0
Sunrisers Hyderabad VS Mumbai Indians,Kumar Kartikeya,4,0,39,0,9.75,6,4,1,1,0
Sunrisers Hyderabad VS Mumbai Indians,Bhuvneshwar Kumar,4,0,26,1,6.50,8,3,0,0,0
Sunrisers Hyderabad VS Mumbai Indians,Nitish Kumar Reddy,3,0,35,0,11.66,7,1,4,0,0
Sunrisers Hyderabad VS Mumbai Indians,Mayank Dagar,4,0,37,1,9.25,9,4,2,0,0
Sunrisers Hyderabad VS Mumbai Indians,Kartik Tyagi,2.5,0,41,0,14.47,4,6,1,0,3
Sunrisers Hyderabad VS Mumbai Indians,Umran Malik,3,0,41,0,13.66,3,7,1,0,0
Sunrisers Hyderabad VS Mumbai Indians,Vivrant Sharma,1,0,19,0,19.00,1,0,2,1,1
Sunrisers Hyderabad VS Mumbai Indians,Aiden Markram,0.1,0,1,0,6.00,0,0,0,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Harshit Rana,3,0,21,1,7.00,11,3,1,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Vaibhav Arora,4,0,30,2,7.50,9,1,1,3,1
Lucknow Super Giants VS Kolkata Knight Riders,Varun Chakravarthy,4,0,38,1,9.50,10,4,2,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Nitish Rana,1,0,3,0,3.00,4,0,0,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Shardul Thakur,2,0,27,2,13.50,3,0,3,1,1
Lucknow Super Giants VS Kolkata Knight Riders,Sunil Narine,4,0,28,2,7.00,8,2,1,1,0
Lucknow Super Giants VS Kolkata Knight Riders,Suyash Sharma,1,0,12,0,12.00,2,1,1,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Andre Russell,1,0,12,0,12.00,2,1,1,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Mohsin Khan,1,0,15,0,15.00,2,2,1,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Naveen-ul-Haq,4,0,46,0,11.50,8,6,2,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Krunal Pandya,4,0,30,1,7.50,9,5,0,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Krishnappa Gowtham,4,0,26,1,6.50,9,2,0,2,0
Lucknow Super Giants VS Kolkata Knight Riders,Ravi Bishnoi,4,0,23,2,5.75,10,1,1,0,0
Lucknow Super Giants VS Kolkata Knight Riders,Yash Thakur,3,0,31,2,10.33,9,1,3,3,0
